#Chromosome,GapStart,GapStop,RegionID,MeanGapCoverage,RegionInterval,GapInterval
chr2,225376060,225376061,CUL3.chr2.225376071.225376299,17.0,chr2:225376060-225376309,chr2:225376060-225376061
chr2,225378230,225378365,CUL3.chr2.225378241.225378355,13.8,chr2:225378230-225378365,chr2:225378230-225378365
chr2,225400234,225400247,CUL3.chr2.225400245.225400358,18.6,chr2:225400234-225400368,chr2:225400234-225400247
chr2,225449650,225449718,CUL3.chr2.225449661.225449726,15.2,chr2:225449650-225449736,chr2:225449650-225449718
chr2,225449726,225449736,CUL3.chr2.225449661.225449726,18.1,chr2:225449650-225449736,chr2:225449726-225449736
chr2,227661597,227661795,IRS1.chr2.227659725.227663454,12.8,chr2:227659715-227663464,chr2:227661597-227661795
chr2,227662316,227662333,IRS1.chr2.227659725.227663454,18.7,chr2:227659715-227663464,chr2:227662316-227662333
chr2,227662337,227662339,IRS1.chr2.227659725.227663454,19.0,chr2:227659715-227663464,chr2:227662337-227662339
chr2,227662343,227662343,IRS1.chr2.227659725.227663454,19.0,chr2:227659715-227663464,chr2:227662343-227662343
chr2,227662364,227662470,IRS1.chr2.227659725.227663454,15.4,chr2:227659715-227663464,chr2:227662364-227662470
chr2,227663374,227663464,IRS1.chr2.227659725.227663454,10.6,chr2:227659715-227663464,chr2:227663374-227663464
chr2,227872723,227872890,COL4A4.chr2.227872733.227873020,9.3,chr2:227872723-227873030,chr2:227872723-227872890
chr2,227875095,227875227,COL4A4.chr2.227875028.227875217,10.8,chr2:227875018-227875227,chr2:227875095-227875227
chr2,227876996,227877023,COL4A4.chr2.227876896.227877013,14.1,chr2:227876886-227877023,chr2:227876996-227877023
chr2,227896984,227897002,COL4A4.chr2.227896863.227896992,17.8,chr2:227896853-227897002,chr2:227896984-227897002
chr2,227907782,227907799,COL4A4.chr2.227907792.227907900,16.7,chr2:227907782-227907910,chr2:227907782-227907799
chr2,227907822,227907823,COL4A4.chr2.227907792.227907900,19.0,chr2:227907782-227907910,chr2:227907822-227907823
chr2,227912180,227912275,COL4A4.chr2.227912190.227912265,10.4,chr2:227912180-227912275,chr2:227912180-227912275
chr2,227915682,227915704,COL4A4.chr2.227915692.227915874,16.7,chr2:227915682-227915884,chr2:227915682-227915704
chr2,227919299,227919318,COL4A4.chr2.227919309.227919453,14.6,chr2:227919299-227919463,chr2:227919299-227919318
chr2,227920650,227920766,COL4A4.chr2.227920660.227920831,12.4,chr2:227920650-227920841,chr2:227920650-227920766
chr2,227920780,227920783,COL4A4.chr2.227920660.227920831,19.0,chr2:227920650-227920841,chr2:227920780-227920783
chr2,227920801,227920841,COL4A4.chr2.227920660.227920831,17.0,chr2:227920650-227920841,chr2:227920801-227920841
chr2,227922144,227922170,COL4A4.chr2.227922154.227922316,14.4,chr2:227922144-227922326,chr2:227922144-227922170
chr2,227924110,227924145,COL4A4.chr2.227924120.227924339,14.5,chr2:227924110-227924349,chr2:227924110-227924145
chr2,227924279,227924349,COL4A4.chr2.227924120.227924339,9.9,chr2:227924110-227924349,chr2:227924279-227924349
chr2,227924842,227924843,COL4A4.chr2.227924851.227924959,18.0,chr2:227924841-227924969,chr2:227924842-227924843
chr2,227927235,227927324,COL4A4.chr2.227927245.227927314,17.4,chr2:227927235-227927324,chr2:227927235-227927324
chr2,227945148,227945156,COL4A4.chr2.227945158.227945265,18.6,chr2:227945148-227945275,chr2:227945148-227945156
chr2,227945215,227945275,COL4A4.chr2.227945158.227945265,16.5,chr2:227945148-227945275,chr2:227945215-227945275
chr2,227953490,227953542,COL4A4.chr2.227953368.227953532,12.9,chr2:227953358-227953542,chr2:227953490-227953542
chr2,227954675,227954683,COL4A4.chr2.227954583.227954673,18.0,chr2:227954573-227954683,chr2:227954675-227954683
chr2,227958830,227959015,COL4A4.chr2.227958840.227959005,5.9,chr2:227958830-227959015,chr2:227958830-227959015
chr2,227963493,227963524,COL4A4.chr2.227963409.227963514,16.2,chr2:227963399-227963524,chr2:227963493-227963524
chr2,227966570,227966579,COL4A4.chr2.227966580.227966625,18.4,chr2:227966570-227966635,chr2:227966570-227966579
chr2,227966589,227966602,COL4A4.chr2.227966580.227966625,19.0,chr2:227966570-227966635,chr2:227966589-227966602
chr2,227966632,227966635,COL4A4.chr2.227966580.227966625,19.0,chr2:227966570-227966635,chr2:227966632-227966635
chr2,227967876,227967897,COL4A4.chr2.227967859.227967913,18.4,chr2:227967849-227967923,chr2:227967876-227967897
chr2,227967904,227967906,COL4A4.chr2.227967859.227967913,17.0,chr2:227967849-227967923,chr2:227967904-227967906
chr2,227973931,227973931,COL4A4.chr2.227973939.227974002,19.0,chr2:227973929-227974012,chr2:227973931-227973931
chr2,227973936,227974012,COL4A4.chr2.227973939.227974002,16.6,chr2:227973929-227974012,chr2:227973936-227974012
chr2,227979333,227979350,COL4A4.chr2.227979343.227979412,15.8,chr2:227979333-227979422,chr2:227979333-227979350
chr2,227979358,227979392,COL4A4.chr2.227979343.227979412,19.0,chr2:227979333-227979422,chr2:227979358-227979392
chr2,227979421,227979422,COL4A4.chr2.227979343.227979412,19.0,chr2:227979333-227979422,chr2:227979421-227979422
chr2,227983453,227983487,COL4A4.chr2.227983360.227983477,13.1,chr2:227983350-227983487,chr2:227983453-227983487
chr2,227985719,227985751,COL4A4.chr2.227985729.227985864,17.4,chr2:227985719-227985874,chr2:227985719-227985751
chr2,227985756,227985874,COL4A4.chr2.227985729.227985864,13.0,chr2:227985719-227985874,chr2:227985756-227985874
chr2,228029432,228029447,COL4A3.chr2.228029442.228029529,18.5,chr2:228029432-228029539,chr2:228029432-228029447
chr2,228029450,228029539,COL4A3.chr2.228029442.228029529,13.1,chr2:228029432-228029539,chr2:228029450-228029539
chr2,228102716,228102750,COL4A3.chr2.228102683.228102740,15.1,chr2:228102673-228102750,chr2:228102716-228102750
chr2,228104950,228104958,COL4A3.chr2.228104858.228104948,17.3,chr2:228104848-228104958,chr2:228104950-228104958
chr2,228110659,228110663,COL4A3.chr2.228110669.228110732,19.0,chr2:228110659-228110742,chr2:228110659-228110663
chr2,228111431,228111464,COL4A3.chr2.228111400.228111454,14.8,chr2:228111390-228111464,chr2:228111431-228111464
chr2,228115894,228115911,COL4A3.chr2.228115855.228115918,18.8,chr2:228115845-228115928,chr2:228115894-228115911
chr2,228116097,228116097,COL4A3.chr2.228116051.228116087,19.0,chr2:228116041-228116097,chr2:228116097-228116097
chr2,228124577,228124603,COL4A3.chr2.228124508.228124593,16.1,chr2:228124498-228124603,chr2:228124577-228124603
chr2,228125790,228125799,COL4A3.chr2.228125797.228125833,19.0,chr2:228125787-228125843,chr2:228125790-228125799
chr2,228125812,228125843,COL4A3.chr2.228125797.228125833,18.5,chr2:228125787-228125843,chr2:228125812-228125843
chr2,228128485,228128505,COL4A3.chr2.228128495.228128660,11.0,chr2:228128485-228128670,chr2:228128485-228128505
chr2,228135475,228135478,COL4A3.chr2.228135485.228135668,16.0,chr2:228135475-228135678,chr2:228135475-228135478
chr2,228142154,228142279,COL4A3.chr2.228142164.228142269,15.4,chr2:228142154-228142279,chr2:228142154-228142279
chr2,228144498,228144509,COL4A3.chr2.228144508.228144606,16.2,chr2:228144498-228144616,chr2:228144498-228144509
chr2,228145275,228145316,COL4A3.chr2.228145155.228145306,17.2,chr2:228145145-228145316,chr2:228145275-228145316
chr2,228145679,228145732,COL4A3.chr2.228145608.228145722,16.0,chr2:228145598-228145732,chr2:228145679-228145732
chr2,228147070,228147167,COL4A3.chr2.228147080.228147248,12.1,chr2:228147070-228147258,chr2:228147070-228147167
chr2,228147212,228147258,COL4A3.chr2.228147080.228147248,15.6,chr2:228147070-228147258,chr2:228147212-228147258
chr2,228149043,228149043,COL4A3.chr2.228148926.228149061,19.0,chr2:228148916-228149071,chr2:228149043-228149043
chr2,228149045,228149071,COL4A3.chr2.228148926.228149061,14.7,chr2:228148916-228149071,chr2:228149045-228149071
chr2,228153903,228153974,COL4A3.chr2.228153865.228153964,13.2,chr2:228153855-228153974,chr2:228153903-228153974
chr2,228155555,228155612,COL4A3.chr2.228155462.228155602,12.5,chr2:228155452-228155612,chr2:228155555-228155612
chr2,228157896,228157935,COL4A3.chr2.228157906.228158033,15.8,chr2:228157896-228158043,chr2:228157896-228157935
chr2,228158028,228158043,COL4A3.chr2.228157906.228158033,16.9,chr2:228157896-228158043,chr2:228158028-228158043
chr2,228168813,228168870,COL4A3.chr2.228168734.228168860,15.7,chr2:228168724-228168870,chr2:228168813-228168870
chr2,228169792,228169809,COL4A3.chr2.228169700.228169799,15.9,chr2:228169690-228169809,chr2:228169792-228169809
chr2,228173606,228173614,COL4A3.chr2.228173614.228173792,18.3,chr2:228173604-228173802,chr2:228173606-228173614
chr2,228173801,228173802,COL4A3.chr2.228173614.228173792,18.5,chr2:228173604-228173802,chr2:228173801-228173802
chr2,228173909,228173939,COL4A3.chr2.228173919.228174034,16.2,chr2:228173909-228174044,chr2:228173909-228173939
chr2,228175481,228175569,COL4A3.chr2.228175491.228175664,11.5,chr2:228175481-228175674,chr2:228175481-228175569
chr2,228194451,228194509,MFF.chr2.228194462.228194499,15.6,chr2:228194451-228194509,chr2:228194451-228194509
chr2,228205004,228205006,MFF.chr2.228205008.228205096,18.3,chr2:228204997-228205106,chr2:228205004-228205006
chr2,228205009,228205029,MFF.chr2.228205008.228205096,19.0,chr2:228204997-228205106,chr2:228205009-228205029
chr2,228205071,228205106,MFF.chr2.228205008.228205096,15.9,chr2:228204997-228205106,chr2:228205071-228205106
chr2,228220382,228220391,MFF.chr2.228220393.228220477,16.8,chr2:228220382-228220487,chr2:228220382-228220391
chr2,228220479,228220481,MFF.chr2.228220393.228220477,19.0,chr2:228220382-228220487,chr2:228220479-228220481
chr2,228220486,228220487,MFF.chr2.228220393.228220477,17.5,chr2:228220382-228220487,chr2:228220486-228220487
chr2,228552102,228552174,SLC19A3.chr2.228552112.228552289,14.3,chr2:228552102-228552299,chr2:228552102-228552174
chr2,228560801,228560801,SLC19A3.chr2.228560604.228560797,6.0,chr2:228560594-228560807,chr2:228560801-228560801
chr2,228563441,228563539,SLC19A3.chr2.228563451.228564280,12.3,chr2:228563441-228564290,chr2:228563441-228563539
chr2,228563545,228563551,SLC19A3.chr2.228563451.228564280,19.0,chr2:228563441-228564290,chr2:228563545-228563551
chr2,228563553,228563573,SLC19A3.chr2.228563451.228564280,18.0,chr2:228563441-228564290,chr2:228563553-228563573
chr2,228567038,228567044,SLC19A3.chr2.228566884.228567034,15.0,chr2:228566874-228567044,chr2:228567038-228567044
chr2,230650462,230650581,TRIP12.chr2.230650473.230650571,12.6,chr2:230650462-230650581,chr2:230650462-230650581
chr2,230654316,230654336,TRIP12.chr2.230654327.230654478,12.7,chr2:230654316-230654488,chr2:230654316-230654336
chr2,230654486,230654488,TRIP12.chr2.230654327.230654478,18.0,chr2:230654316-230654488,chr2:230654486-230654488
chr2,230655829,230655842,TRIP12.chr2.230655840.230655967,12.1,chr2:230655829-230655977,chr2:230655829-230655842
chr2,230656571,230656628,TRIP12.chr2.230656582.230656781,15.3,chr2:230656571-230656791,chr2:230656571-230656628
chr2,230656632,230656676,TRIP12.chr2.230656582.230656781,16.6,chr2:230656571-230656791,chr2:230656632-230656676
chr2,230662546,230662557,TRIP12.chr2.230662406.230662547,17.3,chr2:230662395-230662557,chr2:230662546-230662557
chr2,230666957,230666992,TRIP12.chr2.230666968.230667175,16.3,chr2:230666957-230667185,chr2:230666957-230666992
chr2,230678575,230678584,TRIP12.chr2.230678586.230678747,17.7,chr2:230678575-230678757,chr2:230678575-230678584
chr2,230679026,230679051,TRIP12.chr2.230678949.230679041,15.0,chr2:230678938-230679051,chr2:230679026-230679051
chr2,230701553,230701558,TRIP12.chr2.230701564.230701700,18.5,chr2:230701553-230701710,chr2:230701553-230701558
chr2,230724299,230724299,TRIP12.chr2.230723488.230724290,19.0,chr2:230723477-230724300,chr2:230724299-230724299
chr2,231036771,231036807,SP110.chr2.231036781.231036890,16.4,chr2:231036771-231036900,chr2:231036771-231036807
chr2,231036857,231036864,SP110.chr2.231036781.231036890,19.0,chr2:231036771-231036900,chr2:231036857-231036864
chr2,231042243,231042264,SP110.chr2.231042253.231042396,12.6,chr2:231042243-231042406,chr2:231042243-231042264
chr2,231072695,231072784,SP110.chr2.231072705.231072774,7.3,chr2:231072695-231072784,chr2:231072695-231072784
chr2,231077051,231077054,SP110.chr2.231077061.231077145,18.0,chr2:231077051-231077155,chr2:231077051-231077054
chr2,231077682,231077701,SP110.chr2.231077475.231077742,18.4,chr2:231077465-231077752,chr2:231077682-231077701
chr2,231077710,231077752,SP110.chr2.231077475.231077742,13.2,chr2:231077465-231077752,chr2:231077710-231077752
chr2,231079799,231079843,SP110.chr2.231079664.231079833,13.1,chr2:231079654-231079843,chr2:231079799-231079843
chr2,231281001,231281053,SP100.chr2.231281012.231281043,14.3,chr2:231281001-231281053,chr2:231281001-231281053
chr2,231305260,231305282,SP100.chr2.231305271.231305272,7.0,chr2:231305260-231305282,chr2:231305260-231305282
chr2,231327139,231327150,SP100.chr2.231327150.231327233,17.3,chr2:231327139-231327243,chr2:231327139-231327150
chr2,231328863,231328875,SP100.chr2.231328782.231328865,17.5,chr2:231328771-231328875,chr2:231328863-231328875
chr2,231331005,231331016,SP100.chr2.231331016.231331069,14.5,chr2:231331005-231331079,chr2:231331005-231331016
chr2,231333817,231333821,SP100.chr2.231333758.231333811,16.8,chr2:231333747-231333821,chr2:231333817-231333821
chr2,231363165,231363175,SP100.chr2.231363176.231363250,19.0,chr2:231363165-231363260,chr2:231363165-231363175
chr2,231363177,231363194,SP100.chr2.231363176.231363250,18.8,chr2:231363165-231363260,chr2:231363177-231363194
chr2,231369008,231369015,SP100.chr2.231368901.231369005,17.3,chr2:231368890-231369015,chr2:231369008-231369015
chr2,231774866,231774867,GPR55.chr2.231774721.231775677,19.0,chr2:231774710-231775687,chr2:231774866-231774867
chr2,231774871,231774887,GPR55.chr2.231774721.231775677,18.2,chr2:231774710-231775687,chr2:231774871-231774887
chr2,231774902,231774936,GPR55.chr2.231774721.231775677,17.7,chr2:231774710-231775687,chr2:231774902-231774936
chr2,231774955,231774979,GPR55.chr2.231774721.231775677,18.6,chr2:231774710-231775687,chr2:231774955-231774979
chr2,231775043,231775055,GPR55.chr2.231774721.231775677,19.0,chr2:231774710-231775687,chr2:231775043-231775055
chr2,231775677,231775687,GPR55.chr2.231774721.231775677,18.5,chr2:231774710-231775687,chr2:231775677-231775687
chr2,231974086,231974133,HTR2B.chr2.231973230.231974123,12.6,chr2:231973220-231974133,chr2:231974086-231974133
chr2,231978642,231978653,HTR2B.chr2.231978442.231978643,15.1,chr2:231978432-231978653,chr2:231978642-231978653
chr2,231988116,231988144,HTR2B.chr2.231988126.231988478,18.0,chr2:231988116-231988488,chr2:231988116-231988144
chr2,231988471,231988488,HTR2B.chr2.231988126.231988478,6.0,chr2:231988116-231988488,chr2:231988471-231988488
chr2,232790267,232790435,NPPC.chr2.232790138.232790425,9.3,chr2:232790127-232790435,chr2:232790267-232790435
chr2,232790953,232790969,NPPC.chr2.232790870.232790959,15.4,chr2:232790859-232790969,chr2:232790953-232790969
chr2,232888976,232889050,DIS3L2.chr2.232888987.232889040,15.8,chr2:232888976-232889050,chr2:232888976-232889050
chr2,233113938,233113940,DIS3L2.chr2.233113949.233114056,11.3,chr2:233113938-233114066,chr2:233113938-233113940
chr2,233385378,233385415,PRSS56.chr2.233385308.233385405,11.2,chr2:233385298-233385415,chr2:233385378-233385415
chr2,233386130,233386148,PRSS56.chr2.233386030.233386138,17.9,chr2:233386020-233386148,chr2:233386130-233386148
chr2,233386706,233386797,PRSS56.chr2.233386680.233386870,15.6,chr2:233386670-233386880,chr2:233386706-233386797
chr2,233387410,233387581,PRSS56.chr2.233387411.233387571,12.2,chr2:233387401-233387581,chr2:233387410-233387581
chr2,233387759,233387917,PRSS56.chr2.233387769.233387912,10.9,chr2:233387759-233387922,chr2:233387759-233387917
chr2,233388115,233388298,PRSS56.chr2.233388125.233388288,11.5,chr2:233388115-233388298,chr2:233388115-233388298
chr2,233388471,233388665,PRSS56.chr2.233388481.233388655,10.2,chr2:233388471-233388665,chr2:233388471-233388665
chr2,233388738,233388874,PRSS56.chr2.233388748.233388913,13.6,chr2:233388738-233388923,chr2:233388738-233388874
chr2,233388886,233388889,PRSS56.chr2.233388748.233388913,19.0,chr2:233388738-233388923,chr2:233388886-233388889
chr2,233388898,233388908,PRSS56.chr2.233388748.233388913,19.0,chr2:233388738-233388923,chr2:233388898-233388908
chr2,233388912,233388923,PRSS56.chr2.233388748.233388913,19.0,chr2:233388738-233388923,chr2:233388912-233388923
chr2,233389915,233389988,PRSS56.chr2.233389925.233390216,13.3,chr2:233389915-233390226,chr2:233389915-233389988
chr2,233390140,233390226,PRSS56.chr2.233389925.233390216,11.7,chr2:233389915-233390226,chr2:233390140-233390226
chr2,233390859,233390987,CHRND.chr2.233390869.233390977,15.1,chr2:233390859-233390987,chr2:233390859-233390987
chr2,233391388,233391394,CHRND.chr2.233391238.233391384,18.0,chr2:233391228-233391394,chr2:233391388-233391394
chr2,233396357,233396376,CHRND.chr2.233396251.233396366,16.6,chr2:233396241-233396376,chr2:233396357-233396376
chr2,233398630,233398641,CHRND.chr2.233398640.233398845,17.5,chr2:233398630-233398855,chr2:233398630-233398641
chr2,233401272,233401385,CHRND.chr2.233399839.233401375,10.6,chr2:233399829-233401385,chr2:233401272-233401385
chr2,233404447,233404522,CHRNG.chr2.233404457.233404512,3.9,chr2:233404447-233404522,chr2:233404447-233404522
chr2,233404839,233404851,CHRNG.chr2.233404701.233404841,17.6,chr2:233404691-233404851,chr2:233404839-233404851
chr2,233406073,233406082,CHRNG.chr2.233406083.233406239,17.1,chr2:233406073-233406249,chr2:233406073-233406082
chr2,233406241,233406249,CHRNG.chr2.233406083.233406239,17.7,chr2:233406073-233406249,chr2:233406241-233406249
chr2,233409066,233409070,CHRNG.chr2.233409076.233409290,14.4,chr2:233409066-233409300,chr2:233409066-233409070
chr2,233410242,233410282,CHRNG.chr2.233410252.233410426,11.9,chr2:233410242-233410436,chr2:233410242-233410282
chr2,233599937,233599958,GIGYF2.chr2.233599907.233599948,16.5,chr2:233599897-233599958,chr2:233599937-233599958
chr2,233612314,233612348,GIGYF2.chr2.233612324.233612454,11.0,chr2:233612314-233612464,chr2:233612314-233612348
chr2,233620922,233620947,GIGYF2.chr2.233620932.233621044,15.3,chr2:233620922-233621054,chr2:233620922-233620947
chr2,233620970,233621054,GIGYF2.chr2.233620932.233621044,12.3,chr2:233620922-233621054,chr2:233620970-233621054
chr2,233625296,233625311,GIGYF2.chr2.233625189.233625301,10.4,chr2:233625179-233625311,chr2:233625296-233625311
chr2,233626095,233626156,GIGYF2.chr2.233626105.233626146,13.3,chr2:233626095-233626156,chr2:233626095-233626156
chr2,233633390,233633533,KCNJ13.chr2.233632900.233633523,4.4,chr2:233632890-233633533,chr2:233633390-233633533
chr2,233635989,233636082,KCNJ13.chr2.233635612.233636072,11.5,chr2:233635602-233636082,chr2:233635989-233636082
chr2,233641111,233641139,GIGYF2.chr2.233641121.233641187,16.8,chr2:233641111-233641197,chr2:233641111-233641139
chr2,233641172,233641173,GIGYF2.chr2.233641121.233641187,19.0,chr2:233641111-233641197,chr2:233641172-233641173
chr2,233641181,233641188,GIGYF2.chr2.233641121.233641187,19.0,chr2:233641111-233641197,chr2:233641181-233641188
chr2,233651849,233651866,GIGYF2.chr2.233651859.233652039,18.2,chr2:233651849-233652049,chr2:233651849-233651866
chr2,233652043,233652049,GIGYF2.chr2.233651859.233652039,12.9,chr2:233651849-233652049,chr2:233652043-233652049
chr2,233655964,233655974,GIGYF2.chr2.233655967.233656156,18.4,chr2:233655957-233656166,chr2:233655964-233655974
chr2,233655980,233655984,GIGYF2.chr2.233655967.233656156,19.0,chr2:233655957-233656166,chr2:233655980-233655984
chr2,233655994,233656002,GIGYF2.chr2.233655967.233656156,18.9,chr2:233655957-233656166,chr2:233655994-233656002
chr2,233656166,233656166,GIGYF2.chr2.233655967.233656156,19.0,chr2:233655957-233656166,chr2:233656166-233656166
chr2,233659447,233659485,GIGYF2.chr2.233659457.233659654,16.2,chr2:233659447-233659664,chr2:233659447-233659485
chr2,233659536,233659540,GIGYF2.chr2.233659457.233659654,19.0,chr2:233659447-233659664,chr2:233659536-233659540
chr2,233659555,233659664,GIGYF2.chr2.233659457.233659654,13.6,chr2:233659447-233659664,chr2:233659555-233659664
chr2,233660761,233660941,GIGYF2.chr2.233660771.233660931,12.7,chr2:233660761-233660941,chr2:233660761-233660941
chr2,233671190,233671202,GIGYF2.chr2.233671200.233671367,15.8,chr2:233671190-233671377,chr2:233671190-233671202
chr2,233671204,233671216,GIGYF2.chr2.233671200.233671367,18.5,chr2:233671190-233671377,chr2:233671204-233671216
chr2,233674419,233674447,GIGYF2.chr2.233674429.233674521,16.8,chr2:233674419-233674531,chr2:233674419-233674447
chr2,233674460,233674503,GIGYF2.chr2.233674429.233674521,18.6,chr2:233674419-233674531,chr2:233674460-233674503
chr2,233674508,233674531,GIGYF2.chr2.233674429.233674521,17.4,chr2:233674419-233674531,chr2:233674508-233674531
chr2,233677090,233677211,GIGYF2.chr2.233677100.233677201,15.1,chr2:233677090-233677211,chr2:233677090-233677211
chr2,233680336,233680345,GIGYF2.chr2.233680346.233680447,16.4,chr2:233680336-233680457,chr2:233680336-233680345
chr2,233684526,233684623,GIGYF2.chr2.233684536.233684695,12.9,chr2:233684526-233684705,chr2:233684526-233684623
chr2,233697599,233697600,GIGYF2.chr2.233697566.233697803,18.0,chr2:233697556-233697813,chr2:233697599-233697600
chr2,233697806,233697813,GIGYF2.chr2.233697566.233697803,18.5,chr2:233697556-233697813,chr2:233697806-233697813
chr2,233704548,233704587,GIGYF2.chr2.233704558.233704681,13.4,chr2:233704548-233704691,chr2:233704548-233704587
chr2,233709132,233709135,GIGYF2.chr2.233709078.233709284,19.0,chr2:233709068-233709294,chr2:233709132-233709135
chr2,233709146,233709294,GIGYF2.chr2.233709078.233709284,9.6,chr2:233709068-233709294,chr2:233709146-233709294
chr2,233710431,233710606,GIGYF2.chr2.233710441.233710596,11.1,chr2:233710431-233710606,chr2:233710431-233710606
chr2,233712047,233712109,GIGYF2.chr2.233712057.233712281,11.3,chr2:233712047-233712291,chr2:233712047-233712109
chr2,233712227,233712229,GIGYF2.chr2.233712057.233712281,0.0,chr2:233712047-233712291,chr2:233712227-233712229
chr2,233714961,233714991,GIGYF2.chr2.233714971.233715119,14.0,chr2:233714961-233715129,chr2:233714961-233714991
chr2,233715129,233715129,GIGYF2.chr2.233714971.233715119,18.0,chr2:233714961-233715129,chr2:233715129-233715129
chr2,233721492,233721493,GIGYF2.chr2.233721502.233721570,19.0,chr2:233721492-233721580,chr2:233721492-233721493
chr2,233721504,233721507,GIGYF2.chr2.233721502.233721570,19.0,chr2:233721492-233721580,chr2:233721504-233721507
chr2,233721572,233721580,GIGYF2.chr2.233721502.233721570,16.8,chr2:233721492-233721580,chr2:233721572-233721580
chr2,234160463,234160487,ATG16L1.chr2.234160474.234160588,15.7,chr2:234160463-234160598,chr2:234160463-234160487
chr2,234160504,234160598,ATG16L1.chr2.234160474.234160588,17.3,chr2:234160463-234160598,chr2:234160504-234160598
chr2,234164851,234164851,ATG16L1.chr2.234164748.234164841,19.0,chr2:234164737-234164851,chr2:234164851-234164851
chr2,234178641,234178651,ATG16L1.chr2.234178648.234178713,19.0,chr2:234178637-234178723,chr2:234178641-234178651
chr2,234182420,234182433,ATG16L1.chr2.234182367.234182423,16.7,chr2:234182356-234182433,chr2:234182420-234182433
chr2,234189828,234189831,ATG16L1.chr2.234189751.234189821,19.0,chr2:234189740-234189831,chr2:234189828-234189831
chr2,234238128,234238233,SAG.chr2.234238138.234238223,14.1,chr2:234238128-234238233,chr2:234238128-234238233
chr2,234243743,234243755,SAG.chr2.234243607.234243745,13.0,chr2:234243597-234243755,chr2:234243743-234243755
chr2,234249090,234249134,SAG.chr2.234249100.234249124,9.6,chr2:234249090-234249134,chr2:234249090-234249134
chr2,234250906,234250982,SAG.chr2.234250916.234250972,14.8,chr2:234250906-234250982,chr2:234250906-234250982
chr2,234255038,234255068,SAG.chr2.234255048.234255058,12.6,chr2:234255038-234255068,chr2:234255038-234255068
chr2,234263154,234263252,DGKD.chr2.234263165.234263320,6.6,chr2:234263154-234263330,chr2:234263154-234263252
chr2,234263328,234263330,DGKD.chr2.234263165.234263320,19.0,chr2:234263154-234263330,chr2:234263328-234263330
chr2,234354258,234354418,DGKD.chr2.234354269.234354408,14.5,chr2:234354258-234354418,chr2:234354258-234354418
chr2,234356998,234357012,DGKD.chr2.234356922.234357021,17.9,chr2:234356911-234357031,chr2:234356998-234357012
chr2,234357019,234357031,DGKD.chr2.234356922.234357021,18.0,chr2:234356911-234357031,chr2:234357019-234357031
chr2,234359557,234359606,DGKD.chr2.234359568.234359696,17.7,chr2:234359557-234359706,chr2:234359557-234359606
chr2,234359615,234359706,DGKD.chr2.234359568.234359696,12.3,chr2:234359557-234359706,chr2:234359615-234359706
chr2,234366919,234366991,DGKD.chr2.234366930.234367043,14.8,chr2:234366919-234367053,chr2:234366919-234366991
chr2,234367020,234367020,DGKD.chr2.234366930.234367043,19.0,chr2:234366919-234367053,chr2:234367020-234367020
chr2,234367037,234367053,DGKD.chr2.234366930.234367043,17.8,chr2:234366919-234367053,chr2:234367037-234367053
chr2,234526343,234526390,UGT1A8.chr2.234526354.234527208,15.2,chr2:234526343-234527218,chr2:234526343-234526390
chr2,234526400,234526401,UGT1A8.chr2.234526354.234527208,19.0,chr2:234526343-234527218,chr2:234526400-234526401
chr2,234527145,234527174,UGT1A8.chr2.234526354.234527208,19.0,chr2:234526343-234527218,chr2:234527145-234527174
chr2,234527193,234527218,UGT1A8.chr2.234526354.234527208,18.6,chr2:234526343-234527218,chr2:234527193-234527218
chr2,234545158,234545171,UGT1A10.chr2.234545169.234546023,16.6,chr2:234545158-234546033,chr2:234545158-234545171
chr2,234545943,234545945,UGT1A10.chr2.234545169.234546023,18.0,chr2:234545158-234546033,chr2:234545943-234545945
chr2,234545960,234546033,UGT1A10.chr2.234545169.234546023,17.0,chr2:234545158-234546033,chr2:234545960-234546033
chr2,234580570,234580605,UGT1A9.chr2.234580581.234581435,10.8,chr2:234580570-234581445,chr2:234580570-234580605
chr2,234581227,234581227,UGT1A9.chr2.234580581.234581435,19.0,chr2:234580570-234581445,chr2:234581227-234581227
chr2,234581229,234581235,UGT1A9.chr2.234580581.234581435,19.0,chr2:234580570-234581445,chr2:234581229-234581235
chr2,234581279,234581280,UGT1A9.chr2.234580581.234581435,19.0,chr2:234580570-234581445,chr2:234581279-234581280
chr2,234581286,234581289,UGT1A9.chr2.234580581.234581435,19.0,chr2:234580570-234581445,chr2:234581286-234581289
chr2,234581387,234581445,UGT1A9.chr2.234580581.234581435,16.7,chr2:234580570-234581445,chr2:234581387-234581445
chr2,234590573,234590616,UGT1A7.chr2.234590584.234591438,13.2,chr2:234590573-234591448,chr2:234590573-234590616
chr2,234591429,234591448,UGT1A7.chr2.234590584.234591438,15.0,chr2:234590573-234591448,chr2:234591429-234591448
chr2,234621627,234621764,UGT1A5.chr2.234621638.234622504,15.1,chr2:234621627-234622514,chr2:234621627-234621764
chr2,234621774,234621778,UGT1A5.chr2.234621638.234622504,19.0,chr2:234621627-234622514,chr2:234621774-234621778
chr2,234621781,234621952,UGT1A5.chr2.234621638.234622504,15.2,chr2:234621627-234622514,chr2:234621781-234621952
chr2,234621956,234621962,UGT1A5.chr2.234621638.234622504,19.0,chr2:234621627-234622514,chr2:234621956-234621962
